,job_title,company_name
597,Entry Level Data Center Analyst,2
585,Engineering Co-Op,2
398,Data Engineer - Mid Career,2
564,Digital Senior Business Analyst I,2
874,Professional Services Business Analyst,2
501,"Data Scientist, Advanced Analytics Business Banking Analytics",2
498,Data Scientist – NY/NJ,2
496,Data Scientist – Data Connector,2
495,Data Scientist – Applied Research,2
904,Quantitative Researcher,2
491,Data Scientist SQL,2
39,Application Support & Data Integrity Analyst,2
505,"Data Scientist, Content Promotion",2
567,Director of Data Science & Analytics,2
482,Data Scientist 1 - US,2
481,Data Scientist / Quantitative Researcher – High Frequency Futures,2
910,RESEARCH ANALYST/ Technical,2
570,"Director, Data Science",2
571,Director/VP of Data Engineering and Analytics,2
469,Data Scientist - NLP (Entry to Mid-Level roles),2
504,"Data Scientist, Applied Machine Learning",2
560,Digital Business Intelligence Analyst,2
745,LUHS_DATA ANALYST HEALTH INFO_3792,2
887,QA Analyst/ Manual Tester- Entry Level,2
549,Data/Commission Analyst,2
542,Data Warehouse Analyst,2
541,Data Visualization Engineer,2
879,Project Administrator/Data Analyst,2
552,Database Engineer,2
534,Data Support Analyst,2
533,Data Strategy and Reporting Analyst,2
528,Data Scientist/Engineer,2
512,"Data Scientist, Marketing Analytics",2
555,Desktop Architect/Engineer,2
522,"Data Scientist, TMBO",2
521,"Data Scientist, Summer Intern",2
520,"Data Scientist, Studios Analytics",2
517,"Data Scientist, Redtech",2
516,"Data Scientist, Product Analytics",2
896,Quant Analyst,2
575,ERP Business Systems Analyst,2
463,Data Scientist - Forecasting & Optimization,2
462,"Data Scientist - ENTERPRISE DATA ANALYTICS, Full-time",2
951,SQL Business Analyst,2
940,Revenue & Data Analyst,2
422,Data Governance Business Analyst/Developer,2
420,Data Entry Specialist,2
947,SENIOR BUSINESS ANALYST,2
416,Data Engineering,2
412,"Data Engineer, Measurement Program, YouTube",2
411,"Data Engineer, Health",2
26,"Analyst, Data",2
460,Data Scientist - Artificial Intelligence,2
406,Data Engineer – Royalties,2
405,Data Engineer – Growth,2
404,Data Engineer – Core Datasets,2
403,Data Engineer II,2
402,Data Engineer I,2
401,Data Engineer - University Students,2
954,SQL Engineer,2
428,Data Management Analyst,2
430,Data Manager and Analyst,2
433,Data Modelling Analyst 1,2
434,Data Operations Analyst,2
457,Data Scientist (Python/R) – People Analytics – USDC,2
456,"Data Scientist (Pricing & Experimentation), Finance Research",2
453,"Data Scientist (C13/VP) New York, NY",2
864,Product Analyst,2
863,Procurement Reporting and Data Analyst,2
931,Research Intern,2
583,Engineer - Data,2
444,Data Science - Associate,2
325,Customer Success Manager - Business Analytics,2
934,Research/Data Analyst,2
935,Researcher/Data Analyst (Freelance),2
441,Data Quality Engineer,2
439,Data Quality Analyst,2
1,2019 University Graduate - Data Scientist - Uber Eats (New York),2
861,Process & Data Analyst,2
326,Cúram Business Analyst – Chicago,2
300,Computational Scientist,2
324,"Customer Solutions Engineer, gTech",2
181,Business Analyst/ETL,2
1099,Stationary Engineer,2
175,Business Analyst- Intern,2
